#FILENAME= 'hlsp_exo_kepler_phot_KPLR11853905_kep_v1.0_dtr.txt'
#TARGNAME= 'KPLR11853905'
#TELESCOP= 'Kepler'            / Telescope used for observation
#INSTRUME= 'Photometer'        / Instrument used for observation
#RA_TARG =           285.61533 / [deg] target right ascension (J2000)
#DEC_TARG=            50.13575 / [deg] target declination (J2000)
#RMAGTARG=              12.135 / target r magnitude from KIC
#G-R_TARG=               0.479 / target g-r magnitude from KIC
#DATEMIN =      2454953.538374 / earliest observation date
#DATEMAX =      2454997.983269 / latest observation date
#CAD_TIME=           1765.4976 / [s] median time between samples
#TIME_FIL=             0.96596 / fraction of time interval with observations
#FLUXRMS =          1.1695e-04 / rms of sigma-clipped detrended normalized flux
# 
#NPTS    =                2102 / number of time samples
#COLUMN_1= 'HJD'               / Heliocentric Julian Date
#COLUMN_2= 'Detr_Norm_Flux'    / detrended normalized flux in Kepler bandpass
# 
2454953.538374   0.999809
2454953.558809   1.000059
2454953.579243   0.999980
2454953.599678   0.999906
2454953.620112   1.000082
2454953.640546   0.999798
2454953.660981   0.999958
2454953.681415   1.000006
2454953.701850   0.999895
2454953.722284   0.999967
2454953.742719   0.999963
2454953.763153   0.999963
2454953.783588   1.000024
2454953.804022   0.999860
2454953.824456   1.000157
2454953.844891   1.000145
2454953.865325   0.999840
2454953.885760   0.999940
2454953.906194   0.999990
2454953.926629   0.999925
2454953.947063   0.999944
2454953.967497   1.000011
2454953.987932   0.999889
2454954.008366   1.000095
2454954.028801   0.999906
2454954.049235   1.000124
2454954.069670   0.999905
2454954.090104   1.000006
2454954.110539   1.000044
2454954.130973   1.000022
2454954.151407   0.999919
2454954.171842   0.999987
2454954.192276   0.999812
2454954.212711   1.000117
2454954.233145   0.999863
2454954.253580   0.999892
2454954.274014   1.000037
2454954.294448   1.000060
2454954.314883   0.999913
2454954.335317   1.000079
2454954.355752   1.000099
2454954.376186   1.000225
2454954.396621   0.999946
2454954.417055   1.000050
2454954.437489   0.999910
2454954.457924   0.999946
2454954.478358   0.999906
2454954.498793   1.000139
2454954.519227   0.999957
2454954.539661   1.000050
2454954.560096   1.000102
2454954.580530   1.000027
2454954.600965   0.999955
2454954.621400   1.000089
2454954.641834   1.000059
2454954.662268   1.000078
2454954.682703   0.999979
